                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.1334,                0.56699,                0.96402,                0.99566,                0.99517,                0.99478,                0.73914,                 1.0163,                0.49416,                0.92565,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0982,                0.54781,                0.95267,                0.99533,                0.99349,                0.99482,                0.73546,                 1.0116,                0.49472,                0.92536,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0936,                0.54508,                0.96406,                0.99638,                0.99566,                0.99493,                0.74045,                 1.0091,                0.49564,                0.92514,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0876,                0.55315,                0.94152,                0.99783,                0.99755,                0.99489,                 0.7394,                0.99976,                0.48801,                0.92413,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0802,                 0.5526,                0.96267,                0.99459,                0.99566,                0.99467,                0.73422,                 1.0108,                0.49177,                0.92252,               0.000218,               0.000218,               0.000218
                     92,                 1.0806,                0.53102,                0.98105,                0.99782,                0.99075,                0.99498,                0.73497,                 1.0303,                0.49503,                0.92557,              0.0001982,              0.0001982,              0.0001982
                     93,                  1.119,                0.55383,                0.98241,                0.99935,                0.99132,                  0.995,                0.74387,                 0.9973,                0.48722,                0.91884,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.062,                0.53007,                   0.96,                0.99937,                0.99132,                  0.995,                0.74733,                0.98326,                0.48813,                0.91697,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0821,                0.53488,                0.96991,                0.99889,                0.99132,                  0.995,                0.74707,                0.97715,                0.48318,                  0.915,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.065,                0.52341,                0.94641,                0.99565,                0.99323,                0.99493,                0.74871,                0.96935,                0.47925,                0.91236,               0.000119,               0.000119,               0.000119
                     97,                  1.066,                0.52156,                0.93961,                 0.9972,                0.99132,                0.99491,                0.75484,                0.96358,                0.47645,                0.91196,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  1.048,                0.53064,                0.93864,                0.99565,                0.99331,                0.99493,                0.75362,                0.96459,                0.47365,                0.91138,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.021,                0.51375,                0.94148,                0.99352,                0.99831,                0.99489,                0.75885,                0.94273,                0.46777,                0.90586,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0013,                0.50571,                0.94251,                0.99783,                0.99528,                0.99487,                0.76003,                0.93712,                0.46619,                0.90471,               3.98e-05,               3.98e-05,               3.98e-05
